[2025-10-25 10:20:35] HIGH: Port scan detected | src=8.8.8.8 unique_ports=21
[2025-10-25 10:21:29] HIGH: Port scan detected | src=8.8.8.8 unique_ports=21
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.0 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.2 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.2 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.2 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.3 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.3 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.3 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.4 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.4 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.4 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.5 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.5 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.5 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.5 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.6 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.6 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.6 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:39] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=51.0 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=51.0 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:40] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.6 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.7 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.8 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.9 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=51.0 pkt/s
[2025-10-25 10:21:41] MEDIUM: High packet rate | src=20.20.11.112 rate=50.3 pkt/s
[2025-10-25 10:21:43] MEDIUM: High packet rate | src=20.20.11.112 rate=50.0 pkt/s
[2025-10-25 10:21:43] MEDIUM: High packet rate | src=20.20.11.112 rate=50.1 pkt/s
